,Instances,Error
0,G2,60.33
1,K1,61.98
2,J4,62.88
3,G3,67.5
4,G1,73.21
5,K2,75.03
6,K3,66.57
7,F4,63.7
8,G4,61.29
9,J3,65.84
10,J2,64.82
11,G5,62.77
12,F3,76.01
13,K4,60.07
14,J1,69.47
15,F2,73.38
16,G6,52.01
17,A1,24.09
18,M2,76.4
19,M3,64.52
20,A2,47.41
21,L5,70.13
22,M1,78.13
23,L4,73.31
24,A3,38.82
25,M4,66.31
26,L1,74.04
27,A4,32.21
28,L3,69.42
29,L2,64.18
30,N6,74.54
31,C1,32.61
32,C3,59.6
33,N4,73.45
34,N5,68.62
35,C2,56.67
36,B2,53.0
37,N1,82.99
38,B3,46.77
39,B1,34.3
40,N2,78.3
41,N3,65.46
42,C4,55.47
43,E3,56.19
44,H4,64.85
45,H5,56.12
46,I1,80.33
47,E2,44.86
48,D4,61.1
49,I3,62.1
50,I2,60.9
51,H6,61.79
52,E1,65.15
53,D1,40.77
54,H2,73.91
55,H3,61.14
56,D2,43.42
57,I5,72.91
58,H1,48.75
59,I4,68.47
60,D3,51.79
